Setting Name,Location,Start Address,Start Bit,Num Bits,NVM,Type
SYS_INIT,0x0000[7],0x0000,7,1,No,R/O
LOL_B,0x0000[6],0x0000,6,1,No,R/O
LOL_A,0x0000[5],0x0000,5,1,No,R/O
CLK_LOS,0x0000[4],0x0000,4,1,No,R/O
XO_LOS,0x0000[3],0x0000,3,1,No,R/O
REVID,0x0000[1:0],0x0000,0,2,No,R/O
SYS_INIT_STKY,0x0001[7],0x0001,7,1,No,R/W
LOL_B_STKY,0x0001[6],0x0001,6,1,No,R/W
LOL_A_STKY,0x0001[5],0x0001,5,1,No,R/W
CLK_LOS_STKY,0x0001[4],0x0001,4,1,No,R/W
XO_LOS_STKY,0x0001[3],0x0001,3,1,No,R/W
SYS_INIT_MASK,0x0002[7],0x0002,7,1,Yes,R/W
LOL_B_MASK,0x0002[6],0x0002,6,1,Yes,R/W
LOL_A_MASK,0x0002[5],0x0002,5,1,Yes,R/W
CLK_LOS_MASK,0x0002[4],0x0002,4,1,Yes,R/W
XO_LOS_MASK,0x0002[3],0x0002,3,1,Yes,R/W
CLK_OEB,0x0003[7:0],0x0003,0,8,No,R/W
AUTO_INSELB,0x0004[7],0x0004,7,1,No,R/W
AUTO_INSELA,0x0004[6],0x0004,6,1,No,R/W
DIS_RESET_LOLB,0x0004[5],0x0004,5,1,No,R/W
DIS_RESET_LOLA,0x0004[4],0x0004,4,1,No,R/W
STOPCLK_LOLB,0x0004[1],0x0004,1,1,No,R/W
STOPCLK_LOLA,0x0004[0],0x0004,0,1,No,R/W
I2C_ADDR_CTRL,0x0007[7:4],0x0007,4,4,Yes,R/W
OEB_MASK0,0x0009[7:0],0x0009,0,8,Yes,R/W
OEB_MASK1,0x000A[7:0],0x000A,0,8,Yes,R/W
OEB_MASK2,0x000B[7:0],0x000B,0,8,No,R/W
INSEL1_CTRL,0x000E[7:6],0x000E,6,2,No,R/W
INSEL0_CTRL,0x000E[5:4],0x000E,4,2,No,R/W
RST1_CTRL,0x000E[3:2],0x000E,2,2,No,R/W
RST0_CTRL,0x000E[1:0],0x000E,0,2,No,R/W
CLKIN_DIV,0x000F[7:6],0x000F,6,2,Yes,R/W
PLLB_INSELB,0x000F[5],0x000F,5,1,Yes,R/W
PLLA_INSELB,0x000F[4],0x000F,4,1,Yes,R/W
PLLB_SRC,0x000F[3],0x000F,3,1,Yes,R/W
PLLA_SRC,0x000F[2],0x000F,2,1,Yes,R/W
CLK0_PDN,0x0010[7],0x0010,7,1,Yes,R/W
MS0_INT,0x0010[6],0x0010,6,1,Yes,R/W
MS0_SRC,0x0010[5],0x0010,5,1,Yes,R/W
