		camera	mipi_8320	dac_ad911x	adc_ltc226x	enet1g
1	SCL	-	-	-	-	-
2	+5V	-	-	-	-	-
3	SDA	-	-	-	-	-
4	R_GA	-	-	-	-	-
5	S0_D0P	SLVS0_P	CAM1_CLK_P	DB0	OUT1A+	RX_CTL
6	S1_D1P	FLASH	CAM2_LANE0_P	DB1	FR+	RESET_ENET_N
7	S2_D0N	SLVS0_N	CAM1_CLK_N	DB2	OUT1A-	TX_CTL
8	S3_D1N	RESET_B	CAM2_LANE0_N	DB3	FR-	INT_N
9	S4_D2P	SLVS1_P	CAM1_LANE0_P	DB4	OUT1B+	RXD3
10	S5_D3P	TRIGGER	CAM3_CLK_P	DB5	OUT2A+	TXD0
11	S6_D2N	SLVS1_N	CAM1_LANE0_N	DB6	OUT1B-	RXD2
12	S7_D3N	SHUTTER	CAM3_CLK_N	DB7	OUT2A-	TXD1
13	S8_D4P	SLVS2_P	CAM1_LANE1_P	DB8	SDO	RXD1
14	S9_D5P	FOCUS_SDA	CAM2_LANE1_P	DB9	OUT2B+	TXD2
15	S10_D4N	SLVS2_N	CAM1_LANE1_N	DB10	CS_B	RXD0
16	S11_D5N	FOCUS_SCL	CAM2_LANE1_N	DB11	OUT2B-	TXD3
17	S12_D6P	SLVS3_P	CAM2_CLK_P	CS_B/PWRDN	SCLK	EEPROM_SCL
18	S13_D7P	FOCUS_SDI	CAM3_LANE0_P	SCLK/CLKMD	-	MDC
19	S14_D6N	SLVS3_N	CAM2_CLK_N	SDIO/FORMAT	SDI	EEPROM_SDA
20	S15_D7N	FOCUS_SDO	CAM3_LANE0_N	OPAMP_ENABLE	-	MDIO
21	S16	SDATA	CAM1_GPIO0_VIO	RESET/PINMD	-	-
22	S17	FOCUS_SCK	CAM1_SCL_VIO	-	-	-
23	S18	SCLK	CAM1_GPIO1_VIO	-	-	-
24	S19	FOCUS_SS_B	CAM1_SDA_VIO	-	-	-
25	S20	SADDR	CAM2_GPIO0_VIO	-	-	-
26	S21	FOCUS_RST_B	CAM2_SCL_VIO	-	-	-
27	S22	PGOOD	CAM2_GPIO1_VIO	-	-	-
28	S23	-	CAM2_SDA_VIO	-	-	-
29	S24	-	CAM3_GPIO0_VIO	-	-	-
30	S25	-	CAM3_SCL_VIO	-	-	-
31	S26	-	CAM3_GPIO1_VIO	-	-	-
32	S27	-	CAM3_SDA_VIO	-	-	-
33	P2C_CLKP	SLVSC_P	CAM3_LANE1_P	DCLKIO	DCO+	RX_CLK
34	C2P_CLKP	EXTCLK	GPIO1_DIR	CLKIN	ENC+	TX_CLK
35	P2C_CLKN	SLVSC_N	CAM3_LANE1_N	-	DCO-	-
36	C2P_CLKN	-	-	-	ENC-	-
37	RSVD	-	-	-	-	-
38	RSVD	-	-	-	-	-
39	VIO1	-	-	-	-	-
40	+3.3V	-	-	-	-	-
