Altium Designer Pick and Place Locations
E:\@@@@@Darial\@@@Venkat\Job18_NX Module\module_baseboard\Rev 1\PWB\Outputs Files\Fabrication\Pick Place\NXU baseboard v1.0.csv

========================================================================================================================
File Design Information:

Date:       03/10/23
Time:       22:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R28","1K","TopLayer","RESC1005X40USR","395.000","448.110","180","RES SMD 1K OHM 1% 1/16W 0402"
"C4","0.1uF","TopLayer","CAPC1005X55USR","225.000","454.000","0","CAP CER 0.1UF 16V X7R 0402"
"D8","CMS06(TE12L,Q,M)","TopLayer","SOD-128","580.000","1368.110","180","Rectifier Diode Schottky 30V 2A 2-Pin M-FLAT T/R"
"D7","CMS06(TE12L,Q,M)","TopLayer","SOD-128","2840.000","698.110","0","Rectifier Diode Schottky 30V 2A 2-Pin M-FLAT T/R"
"T19","3V3","TopLayer","TP_1mm","1434.995","2073.105","270","test point"
"SW2","PTS820 J25K SMTR LFS","TopLayer","PTS820J25MSMTRLFS","2470.010","558.110","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R27","44.2K","TopLayer","RESC1005X40USR","1499.995","2108.100","0","RES SMD 44.2K OHM 1% 1/16W 0402"
"R26","200K","TopLayer","RESC1005X40USR","1499.995","2068.110","180","RES SMD 200K OHM 1% 1/16W 0402"
"Q2","RU1J002YNTCL","TopLayer","SOT-323FL","384.995","1298.110","0","MOSFET N-CH 50V 0.2A UMT3F"
"PVDD_4","TP_S","TopLayer","TP_TH","2085.830","709.840","90","test point"
"PS1","AP61100QZ6-7","TopLayer","SOTFL50P160X60-6N","1485.000","2173.110","180","DC-DC CONV LV BUCK SOT563"
"L1","1uH","TopLayer","INDC2016X100N","1369.995","2228.105","90","FIXED IND 1UH 2.7A 57 MOHM SMD"
"J20","USB4105-GF-A","TopLayer","USB4105_GCT","3111.135","873.110","90","Conn USB 2.0 Type C RCP 24 POS 0.3mm/0.5mm Solder RA SMD 24 Terminal 1 Port T/R"
"J19","731000114","TopLayer","0731000114","3133.660","1333.110","180","RF SMA Connector, 1 Contact(s), Female, Board Mount, Solder Terminal, Locking, Jack"
"D6","LTST-C191KGKT","TopLayer","LED_0603","625.005","1173.110","0","LED GREEN CLEAR CHIP 0603 SMD"
"T5","TP_S","TopLayer","TP_TH","2259.590","1200.860","0","test point"
