Altium Designer Pick and Place Locations
E:\@@@@@Darial\@@@Venkat\Job18_NX Module\tiny_reference_design\Rev 1\PWB\Outputs Files\Fabrication\Pick Place\tinyCamera v2.0.csv

========================================================================================================================
File Design Information:

Date:       27/12/23
Time:       14:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R7","44.2K","TopLayer","RESC1005X40USR","510.000","-29.995","90","RES SMD 44.2K OHM 1% 1/16W 0402"
"R6","200K","TopLayer","RESC1005X40USR","550.000","-30.005","270","RES SMD 200K OHM 1% 1/16W 0402"
"R5","0","TopLayer","RESC1005X40USR","490.000","-149.995","90","RES 0 OHM JUMPER 1/16W 0402"
"L1","1uH","TopLayer","INDC2016X100N","375.000","-160.000","180","FIXED IND 1UH 2.7A 57 MOHM SMD"
"T18","TP_S","BottomLayer","TP_20mil","165.000","840.000","90","test point"
"T16","TP_S","BottomLayer","TP_20mil","545.000","855.000","90","test point"
"T14","TP_S","BottomLayer","TP_20mil","375.000","430.000","90","test point"
"T12","TP_S","BottomLayer","TP_20mil","405.000","430.000","90","test point"
"T10","TP_S","BottomLayer","TP_20mil","436.000","624.000","90","test point"
"T9","TP_S","BottomLayer","TP_20mil","436.000","591.000","0","test point"
"T5","TP_S","BottomLayer","TP_20mil","420.000","490.000","0","test point"
"T3","TP_S","BottomLayer","TP_20mil","455.000","490.000","0","test point"
"T1","3V3","BottomLayer","TP_1mm","330.000","-165.000","0","test point"
"FID6","","BottomLayer","FID_040","-428.000","-389.000","90",""
"FID5","","BottomLayer","FID_040","-395.000","835.000","90",""
"FID4","","BottomLayer","FID_040","1080.000","-155.000","90",""
"U5","NCP110AFCT280T2G","TopLayer","WLCSP4_P6XP6_ONS","10.000","675.000","0","LDO Regulator, 200 mA, Low Vin, Ultra-High PSRR 2.8V, Active Discharge"
"U3","TCA9509DGKR","TopLayer","SOP65P490X110-8N","340.000","120.000","0","Level-translating I2C And Smbus"
"C10","4.7uF","TopLayer","CAPC1005X55USR","50.000","670.000","90","CAP CER 4.7UF 10V X5R 0402"
"C9","4.7uF","TopLayer","CAPC1005X55USR","-30.000","670.000","90","CAP CER 4.7UF 10V X5R 0402"
"T35","TP_S","BottomLayer","TP_20mil","110.000","210.000","90","test point"
"T34","TP_S","BottomLayer","TP_1mm","665.000","590.000","90","test point"
"T32","TP_S","BottomLayer","TP_1mm","610.000","590.000","90","test point"
"T30","TP_S","BottomLayer","TP_20mil","750.000","520.000","90","test point"
"T28","TP_S","BottomLayer","TP_20mil","750.000","475.000","90","test point"
"C4","0.1uF","TopLayer","CAPC1005X55USR","585.000","685.000","270","CAP CER 0.1UF 16V X7R 0402"
"SW2","PTS820 J25K SMTR LFS","TopLayer","PTS820J25MSMTRLFS","1115.000","-135.000","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"Q2","RU1J002YNTCL","BottomLayer","SOT-323FL","965.000","405.000","0","MOSFET N-CH 50V 0.2A UMT3F"
"D6","LTST-C191KGKT","TopLayer","LED_0603","1115.525","390.010","0","LED GREEN CLEAR CHIP 0603 SMD"
"T6","TP_S","BottomLayer","TP_20mil","630.000","-250.000","0","test point"
"T7","TP_S","BottomLayer","TP_20mil","640.000","-400.000","0","test point"
"T8","TP_S","BottomLayer","TP_20mil","150.000","667.520","0","test point"
"T11","TP_S","BottomLayer","TP_20mil","363.000","574.000","90","test point"
"T13","TP_S","BottomLayer","TP_20mil","363.000","607.000","90","test point"
"T15","TP_S","BottomLayer","TP_20mil","230.000","667.520","90","test point"
"T17","TP_S","BottomLayer","TP_20mil","270.000","667.520","90","test point"
